year,word,total,rank,percentage
2006,inflation,40,1,20.1
2006,federal,32,2,16.08
2006,growth,19,3,9.55
2006,economic,18,4,9.05
2006,action,16,5,8.04
2006,chairman,16,6,8.04
2006,rate,16,7,8.04
2006,policy,15,8,7.54
2006,energy,14,9,7.04
2006,market,13,10,6.53
2007,federal,36,1,16.51
2007,inflation,34,2,15.6
2007,growth,23,3,10.55
2007,economic,20,4,9.17
2007,action,19,5,8.72
2007,moderate,19,6,8.72
2007,policy,19,7,8.72
2007,chairman,18,8,8.26
2007,market,15,9,6.88
2007,reserve,15,10,6.88
2008,federal,58,1,18.59
2008,economic,43,2,13.78
2008,growth,31,3,9.94
2008,reserve,31,4,9.94
2008,action,30,5,9.62
2008,inflation,30,6,9.62
2008,rate,24,7,7.69
2008,financial,23,8,7.37
2008,market,21,9,6.73
2008,policy,21,10,6.73
2009,federal,67,1,18.87
2009,economic,53,2,14.93
2009,markets,42,3,11.83
2009,reserve,35,4,9.86
2009,conditions,32,5,9.01
2009,financial,29,6,8.17
2009,securities,29,7,8.17
2009,credit,28,8,7.89
2009,market,21,9,5.92
2009,agency,19,10,5.35
2010,federal,54,1,16.31
2010,economic,46,2,13.9
2010,inflation,44,3,13.29
2010,levels,31,4,9.37
2010,policy,28,5,8.46
2010,rate,28,6,8.46
2010,financial,26,7,7.85
2010,securities,26,8,7.85
2010,bank,24,9,7.25
2010,low,24,10,7.25
2011,inflation,65,1,18.06
2011,economic,46,2,12.78
2011,levels,36,3,10
2011,federal,34,4,9.44
2011,securities,34,5,9.44
2011,consistent,32,6,8.89
2011,mandate,32,7,8.89
2011,rate,31,8,8.61
2011,holdings,26,9,7.22
2011,continue,24,10,6.67
2012,economic,49,1,13.35
2012,rate,48,2,13.08
2012,securities,46,3,12.53
2012,inflation,44,4,11.99
2012,federal,39,5,10.63
2012,agency,32,6,8.72
2012,policy,31,7,8.45
2012,mortgage,27,8,7.36
2012,consistent,26,9,7.08
2012,mandate,25,10,6.81
2013,inflation,95,1,16.84
2013,economic,70,2,12.41
2013,policy,66,3,11.7
2013,rate,52,4,9.22
2013,securities,51,5,9.04
2013,pace,49,6,8.69
2013,market,48,7,8.51
2013,term,48,8,8.51
2013,mortgage,43,9,7.62
2013,percent,42,10,7.45
2014,inflation,121,1,18.47
2014,market,80,2,12.21
2014,labor,72,3,10.99
2014,securities,64,4,9.77
2014,committee s,58,5,8.85
2014,policy,57,6,8.7
2014,economic,56,7,8.55
2014,conditions,51,8,7.79
2014,percent,48,9,7.33
2014,run,48,10,7.33
2015,inflation,96,1,18.75
2015,market,68,2,13.28
2015,labor,60,3,11.72
2015,federal,46,4,8.98
2015,policy,42,5,8.2
2015,range,42,6,8.2
2015,percent,41,7,8.01
2015,economic,39,8,7.62
2015,employment,39,9,7.62
2015,term,39,10,7.62
2016,inflation,81,1,14.54
2016,federal,71,2,12.75
2016,rate,62,3,11.13
2016,market,61,4,10.95
2016,funds,55,5,9.87
2016,economic,54,6,9.69
2016,percent,48,7,8.62
2016,labor,47,8,8.44
2016,policy,40,9,7.18
2016,conditions,38,10,6.82
2017,inflation,96,1,17.65
2017,federal,63,2,11.58
2017,market,56,3,10.29
2017,rate,56,4,10.29
2017,economic,54,5,9.93
2017,conditions,48,6,8.82
2017,percent,48,7,8.82
2017,funds,46,8,8.46
2017,labor,40,9,7.35
2017,expected,37,10,6.8
2018,inflation,75,1,17.61
2018,market,48,2,11.27
2018,federal,46,3,10.8
2018,rate,46,4,10.8
2018,economic,41,5,9.62
2018,conditions,40,6,9.39
2018,labor,37,7,8.69
2018,percent,34,8,7.98
2018,funds,30,9,7.04
2018,range,29,10,6.81
2019,inflation,84,1,18.1
2019,federal,59,2,12.72
2019,market,56,3,12.07
2019,rate,48,4,10.34
2019,percent,44,5,9.48
2019,range,41,6,8.84
2019,economic,39,7,8.41
2019,target,32,8,6.9
2019,funds,31,9,6.68
2019,labor,30,10,6.47
2020,inflation,67,1,15.47
2020,federal,54,2,12.47
2020,economic,48,3,11.09
2020,market,42,4,9.7
2020,percent,40,5,9.24
2020,employment,38,6,8.78
2020,range,38,7,8.78
2020,policy,36,8,8.31
2020,conditions,35,9,8.08
2020,securities,35,10,8.08
2021,inflation,73,1,18.07
2021,percent,53,2,13.12
2021,policy,45,3,11.14
2021,employment,42,4,10.4
2021,economic,33,5,8.17
2021,economy,33,6,8.17
2021,conditions,32,7,7.92
2021,range,32,8,7.92
2021,monetary,31,9,7.67
2021,federal,30,10,7.43
2022,inflation,58,1,18.95
2022,policy,33,2,10.78
2022,economic,32,3,10.46
2022,monetary,32,4,10.46
2022,percent,29,5,9.48
2022,range,28,6,9.15
2022,federal,27,7,8.82
2022,rate,27,8,8.82
2022,stance,20,9,6.54
2022,target,20,10,6.54
2023,inflation,44,1,20
2023,policy,35,2,15.91
2023,monetary,31,3,14.09
2023,economic,23,4,10.45
2023,percent,20,5,9.09
2023,rate,15,6,6.82
2023,information,14,7,6.36
2023,range,14,8,6.36
2023,activity,12,9,5.45
2023,remains,12,10,5.45
