"","year","word","total","rank"
"1","2006","inflation",40,1
"2","2006","federal",32,2
"3","2006","growth",19,3
"4","2006","economic",18,4
"5","2006","action",16,5
"6","2006","chairman",16,6
"7","2006","rate",16,7
"8","2006","policy",15,8
"9","2006","energy",14,9
"10","2006","market",13,10
"11","2007","federal",36,1
"12","2007","inflation",34,2
"13","2007","growth",23,3
"14","2007","economic",20,4
"15","2007","action",19,5
"16","2007","moderate",19,6
"17","2007","policy",19,7
"18","2007","chairman",18,8
"19","2007","market",15,9
"20","2007","reserve",15,10
"21","2008","federal",58,1
"22","2008","economic",43,2
"23","2008","growth",31,3
"24","2008","reserve",31,4
"25","2008","action",30,5
"26","2008","inflation",30,6
"27","2008","rate",24,7
"28","2008","financial",23,8
"29","2008","market",21,9
"30","2008","policy",21,10
"31","2009","federal",67,1
"32","2009","economic",53,2
"33","2009","markets",42,3
"34","2009","reserve",35,4
"35","2009","conditions",32,5
"36","2009","financial",29,6
"37","2009","securities",29,7
"38","2009","credit",28,8
"39","2009","market",21,9
"40","2009","agency",19,10
"41","2010","federal",54,1
"42","2010","economic",46,2
"43","2010","inflation",44,3
"44","2010","levels",31,4
"45","2010","policy",28,5
"46","2010","rate",28,6
"47","2010","financial",26,7
"48","2010","securities",26,8
"49","2010","bank",24,9
"50","2010","low",24,10
"51","2011","inflation",65,1
"52","2011","economic",46,2
"53","2011","levels",36,3
"54","2011","federal",34,4
"55","2011","securities",34,5
"56","2011","consistent",32,6
"57","2011","mandate",32,7
"58","2011","rate",31,8
"59","2011","holdings",26,9
"60","2011","continue",24,10
"61","2012","economic",49,1
"62","2012","rate",48,2
"63","2012","securities",46,3
"64","2012","inflation",44,4
"65","2012","federal",39,5
"66","2012","agency",32,6
"67","2012","policy",31,7
"68","2012","mortgage",27,8
"69","2012","consistent",26,9
"70","2012","mandate",25,10
"71","2013","inflation",95,1
"72","2013","economic",70,2
"73","2013","policy",66,3
"74","2013","rate",52,4
"75","2013","securities",51,5
"76","2013","pace",49,6
"77","2013","market",48,7
"78","2013","term",48,8
"79","2013","mortgage",43,9
"80","2013","percent",42,10
"81","2014","inflation",121,1
"82","2014","market",80,2
"83","2014","labor",72,3
"84","2014","securities",64,4
"85","2014","committee s",58,5
"86","2014","policy",57,6
"87","2014","economic",56,7
"88","2014","conditions",51,8
"89","2014","percent",48,9
"90","2014","run",48,10
"91","2015","inflation",96,1
"92","2015","market",68,2
"93","2015","labor",60,3
"94","2015","federal",46,4
"95","2015","policy",42,5
"96","2015","range",42,6
"97","2015","percent",41,7
"98","2015","economic",39,8
"99","2015","employment",39,9
"100","2015","term",39,10
"101","2016","inflation",81,1
"102","2016","federal",71,2
"103","2016","rate",62,3
"104","2016","market",61,4
"105","2016","funds",55,5
"106","2016","economic",54,6
"107","2016","percent",48,7
"108","2016","labor",47,8
"109","2016","policy",40,9
"110","2016","conditions",38,10
"111","2017","inflation",96,1
"112","2017","federal",63,2
"113","2017","market",56,3
"114","2017","rate",56,4
"115","2017","economic",54,5
"116","2017","conditions",48,6
"117","2017","percent",48,7
"118","2017","funds",46,8
"119","2017","labor",40,9
"120","2017","expected",37,10
"121","2018","inflation",75,1
"122","2018","market",48,2
"123","2018","federal",46,3
"124","2018","rate",46,4
"125","2018","economic",41,5
"126","2018","conditions",40,6
"127","2018","labor",37,7
"128","2018","percent",34,8
"129","2018","funds",30,9
"130","2018","range",29,10
"131","2019","inflation",84,1
"132","2019","federal",59,2
"133","2019","market",56,3
"134","2019","rate",48,4
"135","2019","percent",44,5
"136","2019","range",41,6
"137","2019","economic",39,7
"138","2019","target",32,8
"139","2019","funds",31,9
"140","2019","labor",30,10
"141","2020","inflation",67,1
"142","2020","federal",54,2
"143","2020","economic",48,3
"144","2020","market",42,4
"145","2020","percent",40,5
"146","2020","employment",38,6
"147","2020","range",38,7
"148","2020","policy",36,8
"149","2020","conditions",35,9
"150","2020","securities",35,10
"151","2021","inflation",73,1
"152","2021","percent",53,2
"153","2021","policy",45,3
"154","2021","employment",42,4
"155","2021","economic",33,5
"156","2021","economy",33,6
"157","2021","conditions",32,7
"158","2021","range",32,8
"159","2021","monetary",31,9
"160","2021","federal",30,10
"161","2022","inflation",58,1
"162","2022","policy",33,2
"163","2022","economic",32,3
"164","2022","monetary",32,4
"165","2022","percent",29,5
"166","2022","range",28,6
"167","2022","federal",27,7
"168","2022","rate",27,8
"169","2022","stance",20,9
"170","2022","target",20,10
"171","2023","inflation",44,1
"172","2023","policy",35,2
"173","2023","monetary",31,3
"174","2023","economic",23,4
"175","2023","percent",20,5
"176","2023","rate",15,6
"177","2023","information",14,7
"178","2023","range",14,8
"179","2023","activity",12,9
"180","2023","remains",12,10
