Index,Date2,Date,Economic Growth,Employment Growth,Inflation,Medium Term Rate,Policy Rate
1,1/31/06,20060131,UP,Flat,Flat,Hawk,UP
2,3/28/06,20060328,UP,Flat,Flat,Hawk,UP
3,05-10-2006,20060510,Down,Flat,Flat,Hawk,UP
4,6/29/06,20060629,Down,Flat,Flat,Hawk,UP
5,08-08-2006,20060808,Flat,Flat,Flat,Hawk,Flat
6,9/20/06,20060920,Flat,Flat,Flat,Hawk,Flat
7,1/25/06,20061025,Flat,Flat,Flat,Hawk,Flat
8,12-12-2006,20061212,Down,Flat,Flat,Hawk,Flat
9,1/31/07,20070131,UP,Flat,Down,Hawk,Flat
10,3/21/07,20070321,Flat,Flat,UP,Hawk,Flat
11,05-09-2007,20070509,Down,Flat,UP,Hawk,Flat
12,6/18/07,20070618,UP,Flat,Down,Hawk,Flat
13,08-07-2007,20070807,UP,Flat,Flat,Hawk,Flat
14,80/-10-2007,20070810,Flat,Flat,Flat,Dove,UP
15,8/17/07,20070817,Down,Flat,Flat,Dove,Flat
16,9/18/07,20070918,Flat,Flat,Down,Dove,Lower
17,10/31/07,20071031,UP,Flat,Down,Dove,Lower
18,12-11-2007,20071211,Down,Flat,Down,Dove,Lower
19,1/22/08,20080122,Down,Down,Flat,Dove,Lower
20,1/30/08,20080130,Down,Down,Flat,Dove,Lower
21,3-11-1008,20080311,Flat,Flat,Flat,Dove,Flat
22,3/18/08,20080318,Down,Down,UP,Dove,Lower
23,4/30/08,20080430,Down,Down,UP,Dove,Lower
24,6/25/08,20080625,UP,Down,UP,Hawk,Flat
25,08-05-2008,20080805,UP,Down,UP,Hawk,Flat
26,9/16/08,20080916,Down,Down,UP,Dove,Flat
27,10-08-2008,20081008,Down,Flat,Down,Dove,Lower
28,10/29/08,20081029,Down,Flat,Down,Dove,Lower
29,12/16/08,20081216,Down,Down,Down,Dove,Lower
30,1/28/09,20090128,Down,Down,Down,Dove,Flat
31,3/18/09,20090318,Down,Down,Down,Dove,Flat
32,4/29/09,20090429,Down,Down,Flat,Dove,Flat
33,6/24/09,20090624,Down,Down,Down,Dove,Flat
34,08-12-2009,20090812,Flat,Down,Down,Dove,Flat
35,9/23/09,20090923,UP,Down,Down,Dove,Flat
36,11-04-2009,20091104,UP,Down,Down,Dove,Flat
37,12/16/09,20091216,UP,Flat,Down,Dove,Flat
38,1/27/10,20100127,Flat,Flat,Down,Dove,Flat
39,3/16/10,20100316,Flat,Flat,Down,Dove,Flat
40,4/28/10,20100428,Flat,Flat,Flat,Dove,Flat
41,05-09-2010,20100509,Flat,Flat,Flat,Dove,Flat
42,6/23/10,20100623,Flat,UP,Down,Dove,Flat
43,08-10-2010,20100810,Down,Down,Down,Dove,Flat
44,9/21/10,20100921,Down,Down,Flat,Dove,Flat
45,11-03-2010,20101103,Flat,Flat,Down,Dove,Flat
46,12/14/10,20101214,Flat,Down,Down,Dove,Flat
47,1/26/11,20110126,Flat,Down,Down,Dove,Flat
48,3/15/11,20110315,UP,Flat,UP,Dove,Flat
49,4/27/11,20110427,UP,Flat,UP,Dove,Flat
50,6/22/11,20110622,Flat,Down,UP,Dove,Flat
51,08-09-2011,20110809,Flat,Down,Down,Dove,Flat
52,9/21/11,20110921,Flat,Down,Down,Dove,Flat
53,11-02-2011,20111102,UP,Down,Flat,Dove,Flat
54,12/13/11,20111213,UP,Flat,Down,Dove,Flat
55,1/25/12,20120125,UP,UP,Flat,Dove,Flat
56,3/13/12,20120313,UP,UP,Flat,Dove,Flat
57,4/25/12,20120425,UP,UP,UP,Dove,Flat
58,6/20/12,20120620,UP,Flat,Down,Dove,Flat
59,08-01-2012,20120801,Down,Flat,Down,Dove,Flat
60,9/13/12,20120913,UP,Flat,Flat,Dove,Flat
61,10/24/12,20121024,UP,Flat,UP,Dove,Flat
62,12-12-2012,20121212,UP,UP,Flat,Dove,Flat
63,1/30/13,20130130,Flat,UP,Flat,Dove,Flat
64,3/20/13,20130320,UP,UP,Flat,Dove,Flat
65,05-01-2013,20130501,UP,UP,Flat,Dove,Flat
66,6/19/13,20130619,UP,UP,Down,Dove,Flat
67,7/31/13,20130731,UP,UP,Flat,Dove,Flat
68,9/18/13,20130918,UP,UP,Flat,Dove,Flat
69,10/30/13,20131030,UP,UP,Flat,Dove,Flat
70,12/18/13,20131218,UP,UP,Flat,Dove,Flat
71,1/29/14,20140129,UP,UP,Flat,Dove,Flat
72,3/19/14,20140319,Down,UP,Flat,Dove,Flat
73,4/30/14,20140430,UP,UP,Flat,Dove,Flat
74,6/18/14,20140618,UP,UP,Flat,Dove,Flat
75,7/30/14,20140730,UP,UP,UP,Dove,Flat
76,9/17/14,20140917,UP,UP,Flat,Dove,Flat
77,10/29/14,20141029,UP,UP,Down,Dove,Flat
78,12/17/14,20141217,UP,UP,Down,Dove,Flat
79,1/28/15,20150128,UP,UP,Down,Dove,Flat
80,3/18/15,20150318,Flat,UP,Down,Dove,Flat
81,4/29/15,20150429,Down,Flat,Flat,Dove,Flat
82,6/17/15,20150617,UP,UP,Flat,Dove,Flat
83,7/29/15,20150729,UP,UP,Flat,Dove,Flat
84,9/17/15,20150917,UP,UP,Down,Dove,Flat
85,10/28/15,20151028,UP,Flat,Down,Dove,Flat
86,12/16/15,20151216,UP,UP,Flat,Dove,Raise
87,1/27/16,20160127,Down,UP,Down,Dove,Flat
88,3/16/16,20160316,UP,UP,UP,Dove,Flat
89,4/27/16,20160427,Down,UP,Flat,Dove,Flat
90,6/15/16,20160615,UP,Flat,Down,Dove,Flat
91,7/27/16,20160727,UP,UP,Flat,Dove,Flat
92,9/21/16,20160921,UP,UP,Flat,Dove,Flat
93,11-02-2016,20161102,Flat,UP,Flat,Dove,Flat
94,12/14/16,20161214,UP,UP,UP,Dove,Raise
95,02-01-2017,20170201,UP,UP,UP,Dove,Flat
96,3/15/17,20170315,UP,UP,Flat,Hawk,Raise
97,05-03-2017,20170503,Down,UP,Down,Hawk,Flat
98,6/14/17,20170614,UP,UP,Down,Hawk,Raise
99,7/26/17,20170726,UP,UP,Down,Hawk,Flat
100,9/20/17,20170920,UP,UP,Down,Hawk,Flat
101,11-01-2017,20171101,UP,UP,Down,Hawk,Flat
102,12/13/17,20171213,UP,UP,Down,Hawk,Raise
103,1/31/18,20180131,UP,UP,Flat,Hawk,Flat
104,3/21/18,20180321,UP,UP,UP,Hawk,Raise
105,05-02-2018,20180502,UP,UP,Flat,Hawk,Flat
106,6/13/18,20180613,UP,UP,Flat,Hawk,Raise
107,08-01-2018,20180801,UP,UP,Flat,Hawk,Flat
108,9/26/18,20180926,UP,UP,Flat,Hawk,Raise
109,11-08-2018,20181108,UP,UP,Flat,Hawk,Flat
110,12/19/18,20181219,UP,UP,Flat,Hawk,Raise
111,1/30/19,20190130,UP,UP,Down,Dove,Flat
112,3/20/19,20190320,Flat,Flat,Down,Dove,Flat
113,05-01-2019,20190501,UP,UP,Flat,Dove,Flat
114,6-19-2019,20190619,Flat,Flat,Flat,Dove ,Flat
115,7-31-2019,20190731,Flat,Flat,Flat,Dove,Down
116,9-18-2019,20190918,Flat,Flat,Flat,Dove,Down
117,10-11-2019,20191011,Flat,Flat,Flat,Dove,Flat
118,10-30-2019,20191030,Flat,UP,Flat,Dove,Down
119,12-11-2019,20191211,Flat,UP,Flat,Dove,Flat
120,01/29/2020,20200129,UP,UP,Down,Dove,Flat
121,03-03-2020,20200303,Down,Flat,Down,Hawk,Down
122,03/15/2020,20200315,Flat,Flat,Down,Dove,Down
123,03/23/2020,20200323,Down,Down,Down,Dove,Flat
124,04/29/2020,20200429,Down,Down,Down,Dove,Flat
125,06-10-2020,20200610,Down,Down,Flat,Dove,Flat
126,07/29/2020,20200729,Down,Down,Flat,Dove,Flat
127,09/16/2020,20200916,Down,Down,Flat,Dove,Flat
128,11-05-2020,20201105,Down,Down,Flat,Dove,Flat
129,12/16/2020,20201216,Down,Down,Flat,Dove,Flat
130,01/27/2021,20210127,UP,UP,Flat,Dove,Flat
131,03/17/2021,20210317,UP,UP,Flat,Dove,Flat
132,04/28/2021,20210428,UP,UP,UP,Dove,Flat
133,06/16/2021,20210616,UP,UP,UP,Dove,Flat
134,07/28/2021,20210728,UP,UP,UP,Dove,Flat
135,09/22/2021,20210922,UP,UP,UP,Dove,UP
136,11-03-2021,20211103,UP,UP,UP,Dove,UP
137,12/15/2021,20211215,UP,UP,UP,Dove,UP
